"X2011.01.31","X2011.03.04","X2011.04.01","X2011.04.29","X2011.05.31","X2011.06.29","X2011.07.27","X2011.08.25","X2011.09.26","X2011.10.25","X2011.11.22","X2011.12.20","X2012.01.18","X2012.02.17","X2012.03.19","X2012.04.17","X2012.05.16","X2012.06.15","X2012.07.13","X2012.08.10","X2012.09.10","X2012.10.10","X2012.11.07","X2012.12.05","X2013.01.08","X2013.02.05","X2013.03.07","X2013.04.04","X2013.05.03","X2013.06.03","X2013.07.02","X2013.07.30","X2013.08.28","X2013.09.30","X2013.10.30","X2013.11.27","X2013.12.26","X2014.01.27","X2014.02.26","X2014.03.26","X2014.04.23","X2014.05.26","X2014.06.25","X2014.07.23","X2014.08.21","X2014.09.23","X2014.10.23","X2014.11.20","X2014.12.18","X2015.01.20","X2015.02.17","X2015.03.20","X2015.04.17","X2015.05.19","X2015.06.17","X2015.07.15","X2015.08.12","X2015.09.10","X2015.10.13","X2015.11.10","X2015.12.08","X2016.01.08","X2016.02.05","X2016.03.10","X2016.04.07","X2016.05.10","X2016.06.08","X2016.07.06","X2016.08.03","X2016.09.01","X2016.10.05","X2016.11.02","X2016.11.30","X2016.12.28","X2017.01.26","X2017.02.27","X2017.03.28","X2017.04.25","X2017.05.29","X2017.06.27","X2017.07.25","X2017.08.23","X2017.09.20","X2017.10.26","X2017.11.23","X2017.12.21","X2018.01.23","X2018.02.22","X2018.03.23","X2018.04.20","X2018.05.23","X2018.06.22","X2018.07.20","X2018.08.20","X2018.09.17","X2018.10.22","X2018.11.19","X2018.12.17","X2019.01.17","X2019.02.19","X2019.03.20","X2019.04.17","X2019.05.17","X2019.06.17","X2019.07.15","X2019.08.12","X2019.09.10","X2019.10.14","X2019.11.11","X2019.12.09","X2020.01.09","X2020.02.10","X2020.03.09","X2020.04.06","X2020.05.08","X2020.06.05","X2020.07.03","X2020.07.31","X2020.08.31","X2020.09.28","X2020.10.30","X2020.11.27","X2020.12.28","X2021.01.27","X2021.02.26","X2021.03.29","X2021.04.26","X2021.05.26","X2021.06.23","X2021.07.21","X2021.08.19","X2021.09.16","X2021.10.21","X2021.11.18","X2021.12.16","X2022.01.14","X2022.02.16","X2022.03.18","X2022.04.15","X2022.05.16","X2022.06.15","X2022.07.13","X2022.08.10","X2022.09.08","X2022.10.12","X2022.11.09"
"A066570","A036570","A035420","A035420","A009150","A034220","A035420","A034220","A005930","A066570","A036570","A036570","A005930","A036570","A034220","A000660","A036570","A034220","A035420","A006400","A034220","A006400","A006400","A035420","A006400","A034220","A034220","A035420","A034220","A005930","A035420","A000660","A000660","A066570","A066570","A036570","A066570","A034220","A009150","A009150","A000660","A035420","A005930","A006400","A006400","A005930","A035720","A035420","A034220","A034220","A009150","A035420","A006400","A034220","A035720","A018260","A000660","A035420","A005930","A035420","A009150","A035720","A035720","A035720","A005930","A018260","A066570","A018260","A066570","A035720","A066570","A036570","A000660","A036570","A035420","A066570","A034220","A006400","A066570","A035420","A035420","A036570","A035420","A066570","A036570","A066570","A066570","A036570","A036570","A036570","A006400","A000660","A251270","A034220","A066570","A000660","A035420","A035420","A035720","A035720","A035420","A009150","A005930","A035720","A251270","A005930","A018260","A018260","A251270","A005930","A251270","A036570","A066570","A036570","A018260","A009150","A066570","A035720","A009150","A000660","A000660","A066570","A000660","A006400","A036570","A035420","A036570","A006400","A036570","A000660","A259960","A251270","A000660","A036570","A259960","A011070","A259960","A036570","A251270","A009150","A373220","A011070","A000660","A000660","A006400","A036570"
"A005490","A005490","A012330","A000240","A051900","A051900","A000270","A001300","A012330","A012330","A090430","A139480","A012330","A051900","A005380","A000270","A012330","A023530","A023530","A051900","A000270","A161390","A139480","A090430","A001300","A139480","A161390","A051900","A051900","A021240","A021240","A051900","A021240","A000270","A161390","A051900","A139480","A035250","A900140","A000270","A021240","A051900","A011210","A051900","A021240","A051900","A011210","A011210","A139480","A090430","A002790","A021240","A021240","A021240","A012330","A015760","A035250","A023530","A051900","A139480","A161390","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A021240","A090430","A021240","A021240","A000270","A012330","A012330","A021240","A012330","A021240","A021240","A051900","A035250","A128940","A207940","A068270","A023530","A068270","A207940","A068270","A207940","A128940","A207940","A207940","A068270","A023530","A005490","A035250","A021240","A021240","A002790","A051900","A000270","A005380","A012330","A207940","A068270","A207940","A207940","A068270","A207940","A068270","A207940","A068270","A068270","A005490","A207940","A068270","A003670","A003670","A011780","A005490","A003670","A003670","A011780","A051910","A302440","A302440","A207940","A302440","A326030","A302440","A068270","A207940","A068270","A302440","A207940","A068270","A302440","A207940","A302440","A207940","A207940"
"A005380","A090430","A004020","A004020","A034730","A009830","A011170","A010060","A011780","A051910","A051910","A051910","A010060","A010060","A010130","A010130","A011170","A010130","A004020","A051910","A051910","A011170","A011170","A010130","A005490","A010130","A010130","A004020","A051910","A011170","A011170","A011170","A011170","A051910","A005490","A005490","A004020","A004020","A010130","A051910","A051910","A005490","A004020","A010130","A010130","A010130","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A023530","A051600","A015760","A015760","A015760","A015760","A161390","A161390","A051900","A090430","A012330","A005380","A002790","A021240","A021240","A012330","A021240","A139480","A015760","A015760","A015760","A015760","A015760","A015760","A009540","A015760","A051910","A011170","A010130","A051910","A010130","A090430","A139480","A139480","A207940","A023530","A051910","A139480","A004020","A035250","A021240","A051910","A051900","A068270","A068270","A068270","A068270","A068270","A207940","A051910","A051910","A005490","A207940","A035250","A002790","A018880","A021240","A010130","A051910","A011170","A011170","A010130","A010130","A019170","A051910","A011170","A019170","A068270","A068270","A090430","A068270","A302440","A207940","A068270","A003670","A003670","A009830","A011170","A005490","A051910","A010130","A003670","A051900","A051900","A090430","A011170","A000270","A005490","A009830","A003670","A009830"
"A086280","A034020","A010140","A000720","A011170","A028050","A028050","A034730","A086280","A028050","A000720","A034020","A028050","A006360","A086280","A034730","A053000","A028050","A000810","A024110","A024110","A000810","A024110","A000810","A015760","A055550","A004940","A053000","A000810","A032830","A000810","A105560","A105560","A088350","A024110","A036460","A032830","A036460","A015760","A015760","A015760","A015760","A036460","A036460","A036460","A015760","A010130","A005490","A004020","A005490","A032640","A017670","A005490","A032830","A028260","A034730","A030200","A028260","A009240","A034730","A034730","A009240","A047810","A009540","A003550","A034730","A086280","A009540","A003550","A003550","A001040","A047810","A003550","A034730","A010130","A011170","A011170","A009540","A001040","A015760","A010130","A015760","A028260","A267250","A008930","A088350","A011170","A011170","A010130","A011170","A005490","A090430","A011170","A000270","A011170","A011170","A017670","A011170","A005490","A090430","A010130","A005490","A010130","A010130","A068270","A207940","A207940","A051910","A010130","A006800","A010130","A051910","A090430","A018880","A018880","A021240","A005380","A012330","A900140","A000270","A051900","A012330","A018880","A090430","A326030","A012330","A005380","A090430","A012330","A018880","A018880","A012330","A018880","A090430","A090430","A005380","A090430","A003670","A051910","A051910","A090430","A010130","A005380","A090430","A012330","A051900"
"A004940","A004940","A086790","A086790","A086790","A086790","A088350","A024110","A055550","A004940","A086790","A004940","A029780","A032830","A105560","A000810","A034020","A105560","A034730","A034730","A086280","A000720","A015760","A015760","A000810","A036460","A015760","A036460","A036460","A015760","A015760","A036460","A015760","A010140","A003550","A000810","A036460","A024110","A000810","A024110","A053000","A032830","A000810","A000810","A053000","A029780","A088350","A029780","A029780","A032830","A011170","A011170","A030200","A005490","A000810","A088350","A055550","A032640","A000810","A055550","A055550","A010130","A088350","A055550","A088350","A088350","A032830","A000810","A011170","A086790","A000810","A088350","A086790","A000810","A028260","A047810","A009540","A004020","A010130","A010130","A009540","A009540","A015760","A024110","A032830","A015760","A105560","A024110","A105560","A034730","A009540","A015760","A000720","A267250","A000720","A017670","A090430","A032640","A015760","A010140","A024110","A086790","A316140","A000810","A024110","A086790","A024110","A105560","A105560","A010130","A003550","A009540","A003550","A034730","A180640","A034730","A009540","A009540","A028260","A086280","A034730","A086280","A086280","A028260","A096770","A086280","A086280","A009540","A096770","A086280","A032830","A105560","A032830","A316140","A377300","A402340","A377300","A024110","A377300","A105560","A316140","A329180","A034020","A011200","A086280","A034730"
"A078930","A015760","A010950","A010950","A096770","A010950","A078930","A015760","A015760","A015760","A015760","A015760","A015760","A078930","A078930","A096770","A015760","A015760","A015760","A078930","A078930","A015760","A047050","A034730","A034730","A000720","A034730","A042660","A030200","A032640","A030200","A030200","A030200","A015760","A030200","A042660","A000720","A042660","A017670","A017670","A017670","A030200","A017670","A017670","A030200","A030200","A030200","A030200","A032640","A032640","A088350","A003550","A000720","A086280","A030200","A017670","A009540","A088350","A017670","A004020","A051910","A088350","A004020","A010130","A010130","A011170","A010130","A033780","A032830","A010130","A051910","A010130","A004020","A051910","A006800","A055550","A000810","A032830","A006800","A088350","A000810","A086790","A000810","A015760","A034730","A008930","A028260","A009540","A028260","A000810","A032830","A000720","A105560","A024110","A030200","A034730","A086790","A015760","A017670","A015760","A034730","A000720","A017670","A032640","A030200","A030200","A017670","A030200","A017670","A030200","A086790","A017670","A017670","A017670","A032640","A017670","A030200","A017670","A017670","A017670","A352820","A000810","A352820","A096770","A086280","A000810","A030200","A010950","A034020","A096770","A009540","A034730","A096770","A030200","A329180","A010950","A034020","A329180","A011200","A329180","A086280","A000810","A316140","A105560","A032830","A055550"
"A015760","A096770","A015760","A015760","A015760","A015760","A015760","A010950","A017670","A078930","A096770","A078930","A010950","A015760","A015760","A015760","A010950","A010950","A010950","A015760","A015760","A010950","A010950","A010950","A078930","A096770","A078930","A017670","A042660","A042660","A010140","A042660","A086280","A032640","A036460","A017670","A017670","A032640","A034730","A000720","A003550","A034730","A000720","A001800","A001800","A002380","A034730","A001800","A003550","A001040","A009540","A000810","A055550","A017670","A010130","A010130","A011170","A051910","A005490","A030200","A017670","A030200","A017670","A030200","A030200","A001800","A033780","A004020","A017670","A032640","A030200","A017670","A017670","A032640","A032640","A032640","A030200","A017670","A032640","A032640","A032640","A032640","A068270","A068270","A015760","A034730","A015760","A015760","A015760","A015760","A036460","A000810","A015760","A017670","A000810","A024110","A267250","A034730","A000720","A030200","A015760","A017670","A267250","A034730","A003550","A000720","A010140","A009540","A086280","A009540","A032640","A316140","A015760","A000810","A000810","A000810","A006800","A000810","A086790","A055550","A086790","A352820","A006800","A030200","A352820","A030200","A096770","A105560","A017670","A352820","A096770","A010950","A011200","A034730","A096770","A028260","A010950","A010950","A096770","A010950","A096770","A096770","A096770","A096770","A096770","A096770"
"A017670","A030200","A017670","A030200","A017670","A030200","A030200","A030200","A078930","A017670","A030200","A017670","A030200","A030200","A030200","A030200","A033780","A033780","A033780","A017670","A030200","A001800","A030200","A030200","A030200","A017670","A030200","A010950","A096770","A010950","A010950","A096770","A078930","A010950","A078930","A078930","A096770","A096770","A010950","A010950","A078930","A033780","A001800","A086280","A010140","A001800","A097950","A086280","A033780","A033780","A001800","A001800","A033780","A001800","A033780","A001800","A001800","A001800","A033780","A033780","A001800","A033780","A033780","A033780","A078930","A017670","A017670","A030200","A001800","A033780","A001800","A033780","A033780","A033780","A096770","A010950","A010950","A078930","A010950","A068270","A068270","A207940","A030200","A030200","A017670","A032640","A017670","A017670","A078930","A010950","A010950","A017670","A030200","A015760","A015760","A010950","A096770","A055550","A055550","A032830","A030200","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A006800","A015760","A015760","A015760","A015760","A015760","A096770","A015760","A015760","A096770","A015760","A316140","A032830","A096770","A000810","A017670","A032830","A000810","A352820","A017670","A352820","A096770","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A033780","A033780"
"A033780","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A001800","A017670","A017670","A017670","A001800","A001800","A030200","A033780","A001800","A033780","A097950","A033780","A001800","A001800","A001800","A033780","A001800","A033780","A033780","A001800","A001800","A001800","A001800","A001800","A033780","A001800","A010950","A096770","A010950","A010950","A010950","A096770","A096770","A096770","A096770","A010950","A010950","A010950","A010950","A010950","A010950","A008930","A010950","A096770","A096770","A010950","A010950","A068270","A096770","A033780","A096770","A010950","A096770","A010950","A010950","A096770","A078930","A010950","A010950","A033780","A033780","A033780","A033780","A033780","A033780","A078930","A010950","A078930","A078930","A010950","A010950","A010950","A078930","A017670","A030200","A017670","A010950","A010950","A010950","A010950","A015760","A015760","A096770","A010950","A010950","A096770","A010950","A096770","A096770","A010950","A096770","A010950","A010950","A096770","A010950","A033780","A033780","A033780","A097950","A097950","A271560","A096770","A096770","A015760","A096770","A010950","A015760","A096770","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A015760","A017670","A017670","A030200","A030200","A017670","A017670","A033780","A017670","A030200","A033780","A015760","A015760"
NA,NA,NA,NA,NA,NA,NA,"A068270","A068270",NA,NA,NA,NA,NA,NA,NA,"A068270","A068270","A068270","A068270","A068270",NA,NA,"A068270","A068270","A068270","A068270","A068270",NA,NA,"A068270","A068270","A068270","A068270","A068270",NA,NA,NA,"A068270","A068270","A068270","A068270","A068270",NA,NA,NA,NA,NA,NA,NA,"A068270","A068270","A068270","A068270","A008930","A008930","A096770","A068270","A008930","A008930","A008930","A068270","A096770","A068270","A008930","A008930","A068270","A068270","A008930","A008930","A008930","A068270","A207940","A068270","A068270","A207940","A068270","A068270","A207940","A010950","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A004990","A004990","A004990","A033780","A004990","A004990","A033780","A033780","A033780","A033780","A004990","A033780","A004990","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A096770","A096770","A010950","A010950","A010950","A010950","A033780","A271560","A097950","A097950","A097950","A033780","A033780","A033780","A033780","A033780","A033780","A097950","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A033780","A030200","A033780","A033780","A017670","A030200","A017670"
