"source","target","value"
"A005930","A021240",0.969059103954299
"A005930","A001040",0.960753573391968
"A005380","A000270",0.839969616095586
"A005380","A002380",0.913793920336257
"A000660","A030200",0.9464534969865
"A000660","A032640",0.936407792466326
"A015760","A000270",0.948736218943063
"A015760","A002790",1.07528536057363
"A035420","A018260",0.997582451353561
"A035420","A004020",0.993131704890659
"A035420","A018880",0.923319216535209
"A012330","A030200",0.9514210719508
"A012330","A035250",0.960897831304889
"A005490","A000810",0.974871307071652
"A032830","A006400",1.06453186082805
"A017670","A030200",1.02643841539112
"A000270","A003550",0.982788941481158
"A000270","A004020",0.783937113355054
"A000270","A011210",0.719385520294737
"A055550","A105560",0.601268271293702
"A055550","A086790",0.530865823215273
"A055550","A021240",0.93133839835401
"A018260","A028260",0.719693410284727
"A018260","A051900",0.987677649164236
"A090430","A097950",1.00034709423104
"A105560","A024110",0.995172250462443
"A000810","A035250",0.843935413181041
"A000810","A161390",1.00244877670872
"A034220","A001800",0.99445898280208
"A051910","A003550",0.876662575241641
"A051910","A096770",0.744097664678743
"A051910","A139480",1.00019609377167
"A051910","A011170",0.653998856374552
"A034730","A009540",1.20900361877039
"A033780","A006400",1.01590375744195
"A066570","A139480",0.891900182510404
"A051900","A086280",0.98431057871975
"A051900","A009540",1.05113024962005
"A035720","A030200",0.839786184037931
"A035720","A018880",0.82065370133425
"A010130","A096770",1.05539485332448
"A023530","A011210",1.00019957238287
"A006400","A024110",1.01492750742147
"A088350","A018880",1.19094418003546
"A021240","A009150",0.919772706206282
"A010950","A011170",0.760945399789138
"A010950","A009150",0.871166676867609
"A001800","A009150",0.974884350310959
"A011170","A097950",0.958043999908934
