"id","name","sector","selected"
"A005930","삼성전자","IT",0
"A005380","현대차","경기관련소비재",0
"A000660","SK하이닉스","IT",0
"A015760","한국전력","유틸리티",1
"A035420","NAVER","IT",0
"A012330","현대모비스","경기관련소비재",0
"A005490","POSCO홀딩스","소재",0
"A032830","삼성생명","금융",0
"A017670","SK텔레콤","커뮤니케이션서비스",1
"A000270","기아","경기관련소비재",0
"A055550","신한지주","금융",0
"A018260","삼성에스디에스","IT",0
"A028260","삼성물산","산업재",0
"A090430","아모레퍼시픽","경기관련소비재",0
"A105560","KB금융","금융",0
"A000810","삼성화재","금융",0
"A034220","LG디스플레이","IT",0
"A051910","LG화학","소재",0
"A034730","SK","산업재",1
"A003550","LG","산업재",0
"A033780","KT&G","필수소비재",1
"A066570","LG전자","IT",1
"A051900","LG생활건강","경기관련소비재",0
"A086790","하나금융지주","금융",0
"A002790","아모레G","경기관련소비재",0
"A035720","카카오","IT",0
"A086280","현대글로비스","산업재",0
"A010130","고려아연","소재",1
"A096770","SK이노베이션","에너지",1
"A004020","현대제철","소재",0
"A030200","KT","커뮤니케이션서비스",0
"A009540","HD한국조선해양","산업재",0
"A023530","롯데쇼핑","경기관련소비재",1
"A006400","삼성SDI","IT",0
"A024110","기업은행","금융",0
"A088350","한화생명","금융",1
"A035250","강원랜드","경기관련소비재",0
"A021240","코웨이","경기관련소비재",0
"A161390","한국타이어앤테크놀로지","경기관련소비재",1
"A010950","S-Oil","에너지",0
"A001800","오리온홀딩스","필수소비재",0
"A139480","이마트","경기관련소비재",0
"A002380","KCC","산업재",0
"A032640","LG유플러스","커뮤니케이션서비스",0
"A011170","롯데케미칼","소재",0
"A018880","한온시스템","경기관련소비재",0
"A001040","CJ","산업재",0
"A011210","현대위아","경기관련소비재",0
"A009150","삼성전기","IT",0
"A097950","CJ제일제당","필수소비재",0
